ID,Deputados,Órgãos,Votações
10281,"73475, 73487, 73532, 73888, 73896, 74199",180,Nenhuma votação
10282,"73475, 73487, 73532, 73888, 73896, 74199, 74646",180,Nenhuma votação
10283,"73475, 73487, 73532, 73888, 73896, 74199",180,Nenhuma votação
10284,"73475, 73487, 73532, 73896, 74646",180,Nenhuma votação
10285,"73475, 73487, 73532, 73888, 73896, 74646",180,Nenhuma votação
10286,Nenhum deputado,180,Nenhuma votação
10287,Nenhum deputado,180,Nenhuma votação
10288,"73475, 73487, 73888",180,Nenhuma votação
10289,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10290,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,25752-15
10291,"73475, 73487, 73532, 73896, 74192",180,Nenhuma votação
1063,"73454, 73471, 73490, 73575, 73795, 73886, 74024, 74136, 74177, 74312, 74350, 74352, 74353, 74357, 74455, 74466, 74527, 74565, 74567, 74568, 74575, 74590, 74673, 74810",537590,Nenhuma votação
1067,"73454, 73471, 73490, 73575, 73768, 73783, 73795, 74312, 74350, 74353, 74357, 74417, 74455, 74466, 74567, 74575, 74590, 74673, 74797, 74810, 74842",537590,"34572-2, 34573-2, 34575-2, 34578-2, 34581-2"
1075,"73471, 73795, 74024, 74136, 74312, 74350, 74357, 74364, 74466, 74527, 74537, 74565, 74567, 74590, 74673, 74797, 74810",537590,Nenhuma votação
10292,"73475, 73487, 73532, 73888, 73896, 74192",180,Nenhuma votação
10293,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10294,Nenhum deputado,180,Nenhuma votação
10295,Nenhum deputado,180,Nenhuma votação
10296,"73475, 73487, 73532, 73888, 73896, 74192, 74646",180,Nenhuma votação
10297,"73475, 73487, 73532, 73888, 73896, 74192, 74404, 74646",180,Nenhuma votação
10298,"73475, 73487, 73532, 73888, 73896, 74192, 74404, 74646",180,Nenhuma votação
10299,"73475, 73532, 73888, 74192, 74404",180,Nenhuma votação
10300,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10301,"73475, 73487, 73532, 73888, 73896, 74192, 74646",180,Nenhuma votação
10302,"73475, 73487, 73532, 73888, 73896, 74192",180,Nenhuma votação
10303,"73475, 73487, 73532, 73888, 73896, 74192, 74646",180,Nenhuma votação
1107,"73435, 73446, 73535, 73653, 74000, 74419, 74477, 74585",5293,Nenhuma votação
1473,"73451, 73490, 73886, 74024, 74238, 74312, 74350, 74352, 74357, 74364, 74466, 74537, 74567, 74575, 74590, 74673",537590,Nenhuma votação
3149,"72553, 73454, 73461, 73490, 73572, 73593, 73667, 73768, 73777, 73783, 74084, 74136, 74207, 74211, 74312, 74327, 74357, 74466, 74520, 74592, 74669, 74673, 74759, 74790, 74797, 74841",526050,Nenhuma votação
3150,"73490, 74207, 74238, 74312, 74357, 74364, 74466, 74575, 74592, 74673, 74759, 74765",526050,Nenhuma votação
10304,"73475, 73487, 73532, 73888, 73896, 74192, 74646",180,Nenhuma votação
10305,"73475, 73487, 73888, 73896",180,Nenhuma votação
10306,"73475, 73487, 73532, 73888, 73896, 74192, 74646",180,Nenhuma votação
10307,"73475, 73487, 73888, 73896, 74192, 74646",180,Nenhuma votação
10308,"73470, 73475, 73487, 73888, 73896, 74192, 74646",180,Nenhuma votação
10309,"73470, 73475, 73487, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10310,"73470, 73475, 73487, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10311,"73470, 73475, 73888, 73896, 74192, 74646",180,Nenhuma votação
10312,"73470, 73475, 73888, 73896, 74192, 74646",180,Nenhuma votação
10313,"73470, 73475, 73532, 73896, 74192",180,Nenhuma votação
10314,"73470, 73532, 73896, 74192",180,Nenhuma votação
1059,"73431, 73459, 73466, 73875, 73982, 74014, 74065, 74326, 74327, 74329, 74344, 74465, 74476, 74537, 74588, 74637, 74675, 74699, 74756, 74769, 74848",5373,Nenhuma votação
1111,"73435, 73446, 73451, 73673, 74000, 74419, 74462, 74585, 74779",5293,35644-2
1484,"73454, 73490, 73783, 73795, 74136, 74298, 74352, 74357, 74466, 74590, 74673, 74841",537590,Nenhuma votação
1485,"73469, 73471, 73490, 73783, 73795, 74024, 74084, 74136, 74350, 74352, 74357, 74364, 74455, 74565, 74567, 74590, 74797, 74841",537590,Nenhuma votação
1806,"73490, 73602, 73691, 74072, 74075, 74084, 74085, 74094, 74099, 74333, 74340, 74342, 74345, 74346, 74351, 74357, 74445, 74749",2017,Nenhuma votação
