ID,autores,relacionadas,votacoes,codTipoAutor
12789,['Dr. Hélio'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12789/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12789/votacoes'}]}",Erro 404
12792,['Neuton Lima'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12792/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12792/votacoes'}]}",Erro 404
12795,['Regis Cavalcante'],"{'dados': [{'id': 82249, 'uri': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/82249', 'siglaTipo': 'PRL', 'codTipo': '190', 'numero': '1', 'ano': '0', 'ementa': ''}], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12795/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12795/votacoes'}]}",Erro 404
12816,['De Velasco'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12816/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12816/votacoes'}]}",Erro 404
12828,['Aroldo Cedraz'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12828/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12828/votacoes'}]}",Erro 404
12831,['Marcos Cintra'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12831/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12831/votacoes'}]}",Erro 404
12900,['Marcos Cintra'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12900/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12900/votacoes'}]}",Erro 404
12938,['VICENTE ANDRE GOMES'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12938/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12938/votacoes'}]}",Erro 404
13032,['Poder Executivo'],"{'dados': [{'id': 100850, 'uri': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/100850', 'siglaTipo': 'PAR', 'codTipo': '187', 'numero': '1', 'ano': '0', 'ementa': 'Aprovado por Unanimidade o Parecer. \r\nParecer do Relator, Dep. Gilberto Kassab, pela aprovação.'}, {'id': 98548, 'uri': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/98548', 'siglaTipo': 'PRL', 'codTipo': '190', 'numero': '1', 'ano': '0', 'ementa': 'Parecer do Relator, Dep. Gilberto Kassab, pela aprovação.'}, {'id': 103054, 'uri': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/103054', 'siglaTipo': 'PDC', 'codTipo': '396', 'numero': '2672', 'ano': '2002', 'ementa': 'Aprova  o ato que renova a concessão outorgada à Sociedade Rádio Sinuelo Ltda. para explorar serviço de radiodifusão sonora em onda média, na cidade de Carazinho, Estado do Rio Grande do Sul.'}, {'id': 119694, 'uri': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/119694', 'siglaTipo': 'PAR', 'codTipo': '187', 'numero': '1', 'ano': '0', 'ementa': 'Aprovado por Unanimidade o Parecer. \r\nParecer do Relator, Dep. Júlio Delgado, pela constitucionalidade, juridicidade e técnica legislativa.'}, {'id': 111070, 'uri': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/111070', 'siglaTipo': 'PRL', 'codTipo': '190', 'numero': '1', 'ano': '0', 'ementa': 'Parecer do Relator, Dep. Júlio Delgado, pela constitucionalidade, juridicidade e técnica legislativa.'}, {'id': 141410, 'uri': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/141410', 'siglaTipo': 'RDF', 'codTipo': '197', 'numero': '1', 'ano': '0', 'ementa': ''}], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/13032/relacionadas'}]}","{'dados': [{'id': '13032-8', 'uri': 'https://dadosabertos.camara.leg.br/api/v2/votacoes/13032-8', 'data': '2002-12-04', 'dataHoraRegistro': None, 'siglaOrgao': 'CCTI', 'uriOrgao': 'https://dadosabertos.camara.leg.br/api/v2/orgaos/2002', 'uriEvento': 'https://dadosabertos.camara.leg.br/api/v2/eventos/3110', 'proposicaoObjeto': None, 'uriProposicaoObjeto': None, 'descricao': 'Aprovado por Unanimidade o Parecer', 'aprovacao': 1}], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/13032/votacoes'}]}",Erro 404
13036,['Poder Executivo'],"{'dados': [{'id': 101991, 'uri': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/101991', 'siglaTipo': 'PAR', 'codTipo': '187', 'numero': '1', 'ano': '0', 'ementa': 'Aprovado por Unanimidade o Parecer. \r\nParecer do Relator, Dep. Cesar Bandeira, pela aprovação.'}, {'id': 99964, 'uri': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/99964', 'siglaTipo': 'PRL', 'codTipo': '190', 'numero': '1', 'ano': '0', 'ementa': 'Parecer do Relator, Dep. Cesar Bandeira, pela aprovação.'}, {'id': 103387, 'uri': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/103387', 'siglaTipo': 'PDC', 'codTipo': '396', 'numero': '2839', 'ano': '2003', 'ementa': 'Aprova  o ato que renova a concessão outorgada à Rádio Alto Taquari Ltda. para explorar serviço de radiodifusão sonora em onda média, na cidade de Estrela, Estado do Rio Grande do Sul.'}, {'id': 123838, 'uri': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/123838', 'siglaTipo': 'PAR', 'codTipo': '187', 'numero': '1', 'ano': '0', 'ementa': 'Aprovado por Unanimidade o Parecer. \r\nParecer do Relator, Dep. Wilson Santos, pela constitucionalidade, juridicidade e técnica legislativa.'}, {'id': 114555, 'uri': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/114555', 'siglaTipo': 'PRL', 'codTipo': '190', 'numero': '1', 'ano': '0', 'ementa': 'Parecer do Relator, Dep. Wilson Santos, pela constitucionalidade, juridicidade e técnica legislativa.'}, {'id': 145382, 'uri': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/145382', 'siglaTipo': 'RDF', 'codTipo': '197', 'numero': '1', 'ano': '0', 'ementa': ''}], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/13036/relacionadas'}]}","{'dados': [{'id': '13036-8', 'uri': 'https://dadosabertos.camara.leg.br/api/v2/votacoes/13036-8', 'data': '2002-12-11', 'dataHoraRegistro': None, 'siglaOrgao': 'CCTI', 'uriOrgao': 'https://dadosabertos.camara.leg.br/api/v2/orgaos/2002', 'uriEvento': 'https://dadosabertos.camara.leg.br/api/v2/eventos/3165', 'proposicaoObjeto': None, 'uriProposicaoObjeto': None, 'descricao': 'Aprovado por Unanimidade o Parecer', 'aprovacao': 1}], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/13036/votacoes'}]}",Erro 404
